decision_date,country,authority,fine_amount_eur,controller,sector,articles_violated,violation_type,summary
2018-12-09,AUSTRIA,Austrian Data Protection Authority (dsb),4800,Betting place,Industry and Commerce,Art. 13 GDPR,Insufficient fulfilment of information obligations,"Video surveillance was not sufficiently marked and a large part of the sidewalk of the facility was recorded. Surveillance of the public space in this way, i.e. on a large scale by private individuals, is not permitted."
2018,AUSTRIA,Austrian Data Protection Authority (dsb),1800,Kebab restaurant,Accomodation and Hospitality,"Art. 5 GDPR, Art. 13 GDPR, Art. 14 GDPR",Insufficient legal basis for data processing,"CCTV was unlawfully used. Sufficient information about the video surveillance was missing. In addition, the storage period of 14 days was too long and therefore against the principle of data minimization. Addendum: Fine has been reduced to EUR 1500 by court, see <a class='blau' href='https://www.dataprotect.at/2020-videoüberwachung-strafe/' target='_blank'>link</a>"
2018-09-27,AUSTRIA,Austrian Data Protection Authority (dsb),300,Private car owner,Individuals and Private Associations,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,A Dashcam was unlawfully used.
2018-12-20,AUSTRIA,Austrian Data Protection Authority (dsb),2200,Private person,Individuals and Private Associations,"Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR, Art. 6 (1) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,"The fine was imposed against a private person who was using CCTV at his home. The video surveillance covered areas which are intended for the general use of the residents of the multi-party residential complex, namely: parking lots, sidewalks, courtyard, garden and access areas to the residential complex; in addition, the video surveillance covered garden areas of an adjacent property. The video surveillance subject of the proceedings is therefore not limited to areas which are under the exclusive power of control of the controller. Video surveillance is therefore not proportionate to the purpose and not limited to what is necessary. The video surveillance records the hallway of the house and films residents entering and leaving the surrounding apartments, thereby intervening in their highly personal areas of life without the consent to record their image data. The video surveillance was not properly indicated."
2019-05-28,BELGIUM,Belgian Data Protection Authority (APD),2000,Mayor,Public Sector and Education,"Art. 5 (1) b) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,The administrative fine was imposed for the misuse of personal data by a mayor for campaign purposes.
2018-12-04,BULGARIA,Bulgarian Commission for Personal Data Protection (KZLD),500,Bank,"Finance, Insurance and Consulting","Art. 5 (1) b) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"A fine of 1000 BGN (or roughly 500 EUR) was imposed on a bank for calling a client for the unresolved bills of his neighbor. This provoked the client to evoke his right to be forgotten. After not receiving any answer from the bank he filed another motion, for which the bank did take action in the statutory period. Nonetheless, the client filed a complaint to KZLD.

The infringement for which the bank was fined was for the processing of the client’s personal data was not linked to his consumer credit agreement. Since the purpose for which the data were processed was different from that communicated at the time of conclusion of the contract, the bank had, in the point of view of KZLD, to request additional consent from its client."
2019-02-26,BULGARIA,Bulgarian Commission for Personal Data Protection (KZLD),27100,Telecommunication service provider,"Media, Telecoms and Broadcasting","Art. 6 GDPR, Art. 5 (1) a) GDPR",Insufficient legal basis for data processing,"Repeated registration of prepaid services without the knowledge and consent of the data subject

Employees of the telecommunications provider have used personal data and registered the complainant with the company's prepaid service. The data subject had not signed the application and had not consented to the processing of his personal data for the stated purpose. There was also no other legal basis applicable. The signature of the application and the complainant own genuine application were not identical and the persons personal identification number was indicated, but the identity card number was not the complainants one."
2019-01-17,BULGARIA,Bulgarian Commission for Personal Data Protection (KZLD),500,Bank,"Finance, Insurance and Consulting","Art. 6 GDPR, Art. 5 (1) a) GDPR",Insufficient legal basis for data processing,A bank gained personal data concernign a student wihtout a legal basis.
2019-02-22,BULGARIA,Bulgarian Commission for Personal Data Protection (KZLD),500,Employer,Employment,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,An employee sent a request to his employer for access to personal data concerning him. The request was not answered in time and not in a complete way.
2019,CYPRUS,Cypriot Data Protection Commissioner,5000,State Hospital,Health Care,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,"A patient complained to the Commissioner that the request for access to her medical file was not satisfied by the hospital because the dossier could not be identified/located by the controller. After investigating the case, an administrative fine of €5,000 was imposed on the hospital."
2019,CYPRUS,Cypriot Data Protection Commissioner,10000,Newspaper,"Media, Telecoms and Broadcasting",Art. 6 GDPR,Insufficient legal basis for data processing,"The publication of the newspaper, both in hard copy and in electronic form, allegedly involved inconvenience, unnecessary and unlawful detention of a citizen, and revealed the names and pictures of the two police investigators involved, as well as the photograph of a third police investigator.

The Commissioner considered that the aim could be achieved by referring only to the initials of their name and/or their faces being blurred and/or publishing photographs drawn from a distant distance so that it was impossible to identify the persons, and these actions would not bring any change in the nature of the case."
2019-01-10,CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),388,Employer,Employment,Art. 6 GDPR,Insufficient legal basis for data processing,A former employee of a company requested the deletion of information relating to him/her which was published on the Facebook website of the employer and which was still available long after the termination of the employment relationship. The fine was imposed because the employer did not delete the information relating to the former employee.
2019-02-04,CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),1165,Car renting company,Industry and Commerce,Art. 5 (1) a) GDPR,Insufficient fulfilment of information obligations,A person who rented a car found out that the car was tracked via GPS by the renting company even though there was no information provided on the fact that the car is being tracked. The Czech Data Protection Authority found that there was no information provided in terms of Art. 13 GDPR and that Art. 6 (1) f) GDPR could not be the legal basis under the concrete circumstances. Due to that the UOOU found that there was a violation of Art. 5 (1) a) GDPR for which it imposed the fine.
2019-02-28,CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),582,Unknown,Not assigned,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"Data was not processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures ('integrity and confidentiality')."
2019-02-04,CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),1165,Credit brokerage,"Finance, Insurance and Consulting",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"Data was not processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures ('integrity and confidentiality')."
2018-10-25,CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),388,Unknown,Not assigned,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,Information was not provided.
2019-02-26,CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),776,Unknown,Not assigned,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,Information was not provided.
2019-03-21,CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),10000,Unknown,Not assigned,Art. 5 (1) GDPR,Non-compliance with general data processing principles,"Data was not only processed if adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed ('data minimisation') and not only kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed ('storage limitation')."
Unknown,CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),3140,"UniCredit Bank Czech Republic and Slovakia, a.s.","Finance, Insurance and Consulting",Art. 6 GDPR,Insufficient legal basis for data processing,The bank established a personal bank account for a data subject without his consent or knowledge. The bank supposedly had his personal data available because the subject had disposed of his employer’s company account. The bank was not able to provide The Office for Personal Data Protection with the necessary documentation to prove entering into contract with the data subject.
2019-05-06,CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),194,Unknown,Not assigned,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,Information was not provided.
2019,DENMARK,Danish Data Protection Authority (Datatilsynet),160000,Taxa 4x35,Transportation and Energy,Art. 5 (1) e) GDPR,Non-compliance with general data processing principles,"The Danish DPA reported the taxi company to the police and recommended a fine (of 1.2M DKK) for non-adherence to the data-minimization principle. While the company deleted the names of its passengers from all its records after two years, the deletion did not include the rest of the ride records (about 8,873,333 taxi trips). Hence, the company continued to hold onto individual's phone numbers. 

Please note: Since Danish law does not provide for administrative fines as in the GDPR (unless it is an uncomplicated case and the accused person consented), fines will be imposed by courts."
2021-02-12,DENMARK,Danish Data Protection Authority (Datatilsynet),13450,IDdesign A / S,Industry and Commerce,"Art. 5 (1) e) GDPR, Art. 5 (2) GDPR",Non-compliance with general data processing principles,"Original summary: On June 3, 2019, the Danish DPA (Datatilsynet) reported IDdesign to the police and demanded payment of a fine in the amount of EUR 200,850 for the processing of personal data of approximately 385,000 customers for a longer period than necessary for the purposes for which they were processed.  Additionally, the company had not established and documented deadlines for deletion of personal data in their new CRM system. The deadlines set for the old system were not deleted after the deadline for the information had been reached. Also, the controller had not adequately documented its personal data deletion procedures. 

Please note: Since Danish law does not provide for administrative fines as in the GDPR (unless it is an uncomplicated case and the accused person consented), fines will be imposed by courts. 

Update: On February 12, 2021 the Aarhus District Court decided to impose a fine against IDdesign in the amount of EUR 13,450. With regard to the calculation of the fine, the court disagreed with the proposed amount of the fine. It concluded that the amount should be calculated on the basis of the company's own turnover and not that of the entire group. In addition, the court considered that the mitigating circumstances under Art. 83 (2) GDPR should be taken into account when calculating the fine. Such as that the company had not previously breached the GDPR, as well as that the breach concerned only general personal data. In addition, no data subject suffered damages as a result of the breach. Finally, the court considers that the negligent nature of the breach should be taken into account."
2019-01-21,FRANCE,French Data Protection Authority (CNIL),50000000,Google LLC,"Media, Telecoms and Broadcasting","Art. 13 GDPR, Art. 14 GDPR, Art. 6 GDPR, Art. 5 GDPR",Insufficient legal basis for data processing,"The fine was imposed on the basis of complaints from the Austrian organisation 'None Of Your Business' and the French NGO 'La Quadrature du Net'. The complaints were filed on 25th and 28th of May 2018 - immediately after the GDPR became applicable. The complaints concerned the creation of a Google account during the configuration of a mobile phone using the Android operating system. The CNIL imposed a fine of 50 million euros for lack of transparency (Art. 5 GDPR), insufficient information (Art. 13 / 14 GDPR) and lack of legal basis (Art. 6 GDPR). The obtained consents had not been given 'specific' and not 'unambigous' (Art. 4 nr. 11 GDPR)."
2019-05-28,FRANCE,French Data Protection Authority (CNIL),400000,SERGIC (Real Estate),Real Estate,Art. 5 (1) e) GDPR,Insufficient technical and organisational measures to ensure information security,"The CNIL based the penalty on two grounds: Lack of basic security measures and excessive data storage. As to the first, sensitive user documents uploaded by rental candidates (including ID cards, health cards, tax notices, certificates issued by the family allowance fund, divorce judgments, account statements) were accessible online without any authentication procedure in place. Although the vulnerability was known to the company since March 2018, it was not finally resolved until September 2018. In addition, the company stored the documentation provided by candidates for longer than necessary. The CNIL took into account i.a. the seriousness of the breach (lack of due care in addressing vulnerability and the fact that the documents revealed very intimate aspects of users' lives), the size of the company and its financial standing."
2018-11-21,GERMANY,Data Protection Authority of Baden-Wuerttemberg,20000,Knuddels.de,"Media, Telecoms and Broadcasting",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"After a hacker attack in July personal data of approx. 330.000 users, including passwords and email addresses had been revealed."
2018-12-17,GERMANY,Data Protection Authority of Hamburg,5000,"Kolibri Image
Regina und Dirk Maass GbR",Industry and Commerce,Art. 28 (3) GDPR,Insufficient data processing agreement,"Please note: According to our information this fine has been withdrawn in the meantime. 

Kolibri Image had send a request to the Data Protection Authority of Hessen asking how to deal with a service provider who does not want to sign a processing agreement. After not answering Kolibri Image in more detail, the case was forwarded to the locally responsible Data Protection Authority of Hamburg. This Authority then fined Kolibri Image as controller for not having a processing agreement with the service provider. Kolibri Image has stated that they will challenge the decision in front of court since they are of the opinion that the service provider does not act as a processor."
2019-04-12,GERMANY,Data Protection Authority of Baden-Wuerttemberg,80000,Company in the financial sector,"Finance, Insurance and Consulting","Art. 5 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"In an administrative decision dated 12 April 2019, the authority imposed a fine of 80,000 euros on a medium-sized financial services company. This company had failed to take the necessary care to preserve the integrity and confidentiality of information within the meaning of Art. 5 para. 1 lit. f GDPR when disposing of documents containing personal data of two customers. Thus, without prior anonymisation, the papers were disposed of in the general waste paper recycling system, where the documents were found by a neighbour."
2019-02-05,GERMANY,Data Protection Authority of Sachsen-Anhalt,2500,Private person,Individuals and Private Associations,"Art. 6 GDPR, Art. 5 GDPR",Insufficient legal basis for data processing,"The fine was impossed against a private person who sent several e-mails between July and September 2018, in which he used personal e-mail addresses visible to all recipients, from which each recipient could read countless other recipients. The man was accused of ten offences between mid-July and the end of July 2018. According to the authority's letter, between 131 and 153 personal mail addresses were identifiable in his mailing list."
2018,GERMANY,Data Protection Authority of Hamburg,20000,Unknown,Not assigned,"Art. 33 (1) GDPR, Art. 34 (1) GDPR",Insufficient fulfilment of data breach notification obligations,Late notification of a data breach and failure to notify the data subjects.
Unknown,GERMANY,Data Protection Authority of Saarland,118,Unknown,Not assigned,Art. 6 GDPR,Insufficient legal basis for data processing,Illegal disclosure of personal data relating to a third party.
2018,GERMANY,Data Protection Authority of Hamburg,500,Unknown,Not assigned,Unknown,Unknown,Unknown
2019-03,GERMANY,Data Protection Authority of Berlin,50000,N26,"Finance, Insurance and Consulting",Art. 6 GDPR,Insufficient legal basis for data processing,"The fine was imposed against against a bank (according to a newspaper N26) that had processed 'personal data of all former customers' without permission.The Bank has acknowledged that it had retained data relating to former customers in order to maintain a blacklist, a kind of warning file, so that it would not make a new account available to these persons. The bank initially justified this by stating that it was obliged under the German Banking Act to take security measures against customers suspected of money laundering. The Berlin supervisory authority judged this to be illegal. The authority argues that in order to prevent a new bank account from being opened, only those affected may be included in a comparison file who are actually suspected of money laundering or for whom there are other valid reasons for refusing a new bank account. The authority told a newspaper that the fine proceedings initiated against the bank had 'not yet been legally concluded'."
2019-02-08,HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),1560,Bank,"Finance, Insurance and Consulting",Art. 5 (1) d) GDPR,Non-compliance with general data processing principles,"A bank mistakenly sent SMS messages about a subject's credit card debt to the telephone number of another person. After receiving an incorrect telephone number from the client at the time of contracting, the bank did not comply with the data subject's request to erase the data and continued to send SMS message to the incorrect telephone number. The fine represents 0.0016% of the annual profit of the bank."
2019-02-20,HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),1560,Debt collector,"Finance, Insurance and Consulting","Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR",Non-compliance with general data processing principles,"A data subject requested information about and erasure of the data processed, which the debt collector refused stating that it could not identify the subject. For identification purposes he requested place of birth, mother’s maiden name and further details from the data subject. After the controller succeeded to identify the data subjects he refused to comply with the deletion request, arguing he is legally obliged to retain backup copies according to the Accountancy Act and internal policies. Since he did not properly inform about these policies, the NAIH held the controller breached the principle of transparency. The fine constitutes 0.0025% of the annual profit of the controller."
2018-12-18,HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),3200,Unknown,Not assigned,"Art. 12 (4) GDPR, Art. 15 GDPR, Art. 18 (1) c) GDPR, Art. 13 GDPR",Insufficient fulfilment of data subjects rights,"The fine was imposed for (i) not providing a data subject with CCTV recordings, (ii) not retaining recordings for further use by the data subject, and (iii) not informing the data subject about his right to lodge a complaint to the supervisory authority."
2019-02-28,HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),3200,Mayor's Office of the city of Kecdkemét,Public Sector and Education,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The fine was imposed on the Mayor’s Office of the city of Kecskemét for unlawful disclosure of the personal information of a whistleblower.NAIH imposed the fine after an employee of an organisation that it supervised reported a public interest complaint directly to it against his employer. After the organisation learned of the complaint, it requested details in order to investigate, and the local government accidentally revealed the complainant's name. The NAIH considered it an aggravating factor that as a result of the data breach, the organisation fired the person who made the report."
2019-03-04,HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),3200,Unnamed financial institution,"Finance, Insurance and Consulting","Art. 5 (1) b) GDPR, Art. 5 (1) c) GDPR, Art. 13 (3) GDPR, Art. 17 (1) GDPR, Art. 6 (4) GDPR",Insufficient fulfilment of data subjects rights,"The fine was imposed in relation to a data subject's request for data correction and erasure. NAIH levied a fine against an unnamed financial institution for unlawfully rejecting a customer’s request to have his phone number erased after arguing that it was in the company's legitimate interest to process this data in order to enforce a debt claim against the customer. In its decision, the NAIH emphasised that the customer’s phone number is not necessary for the purpose of debt collection because the creditor can also communicate with the debtor by post. Consequently, keeping the phone number of the debtor was against the principles of data minimisation and purpose limitation. As per the law, the assessed fine was based on 0.025% of the company's annual net revenue."
